Месяц,Нетто доход,OPEX подписки,OPEX монтаж,OPEX помощница,OPEX итого,Налог СЗ,Чистая прибыль
Дек 2024,270000,10000,0,0,10000,,260000
Янв 2025,159000,10000,0,0,10000,2850,146150
Фев 2025,306000,10000,0,0,10000,9600,286400
Мар 2025,50000,10000,0,0,10000,2693,37307
Апр 2025,95000,10000,0,0,10000,2632,82368
Май 2025,205000,10000,0,0,10000,5313,189687
Июн 2025,190000,10000,0,0,10000,3249,176751
Июл 2025,155000,10000,120000,0,130000,4315,20685
Авг 2025,373000,10000,15000,0,25000,13980,334020
Сен 2025,273000,10000,15000,0,25000,10560,237440
Окт 2025,693000,10000,15000,2500,27500,28185,637315
Ноя 2025,406000,10000,15000,10000,35000,7802,363198
Дек 2025,877000,10000,15000,15000,40000,0,837000
ИТОГО 2025,3782000,120000,180000,27500,342500,91179,3348321
